"","D3YXH0","E9PUL5","Q9DCJ9","Q91Z25","Q9WV54","P07309","A0A0A6YVP0","Q9JM63","Q8VED5","P97449","E9PWQ3","P17047","Q9EPB4","Q60847","Q922I7","Q99LB4","E9Q616","P01027","G3X8T9","Q05144","Q99L04","P23953","E9Q0H6","P16045","F6WR04","F6TQW2","P98086","Q91X72","P08905","P11438","P43275","P27005","P49935","Q8BTM8","Q9WUU7","P29699","Q61704","O89017","P16110","P07356","P31725","Q99P91","P10107","Q9JKF1","P28665","Q9Z1Q5","P19324","P50543","P97429","Q9Z1T1"
"E9Q616",-0.995303087373862,-0.993808109908294,0.966343841651193,0.993933005305444,0.988402185317542,0.990126118704501,0.953164967020948,0.955154385729048,0.935545028431112,0.977251384614214,0.987349909420066,0.942895903745449,0.97470597007072,0.978690412111631,0.989365965612315,0.995408158995299,1,0.996655627844858,0.996564831335664,0.994444021035387,0.997045011552883,0.996141471094875,0.985725438460216,0.98976532052427,0.992793330967791,0.99352985359081,0.992870339828477,0.992150249043489,0.992081832255503,0.990275150233262,0.99476474519681,0.992380432116044,0.991668483145591,0.994028043954262,0.996641456674822,0.972267985758143,0.98482311457753,0.997772655032949,0.994527588877484,0.995998284516046,0.995635457871955,0.996215217821861,0.99474603493398,0.994736111503703,0.992959993362675,0.995532743424254,0.990070277841768,0.987619664127932,0.989756431332667,0.991354941979507
"P01027",-0.988449096411367,-0.988523024814004,0.952031197911528,0.986156804304617,0.981124119155987,0.980450361617434,0.945797918523963,0.943261134341033,0.92743422658791,0.982930805231946,0.985254766729424,0.964225246902892,0.980283844831755,0.977735516596275,0.979711135103672,0.989090428198823,0.996655627844858,1,0.998101343219004,0.995374800387399,0.995894967470272,0.991896414945722,0.977954202274676,0.98090329128396,0.985396332183446,0.986290930220425,0.984622131514324,0.983569376811096,0.982723604331114,0.984298150133164,0.988901832425563,0.984241346692092,0.984256402089923,0.98898880535969,0.99216103253496,0.963551693174054,0.978798075357395,0.990673376167989,0.985577066070814,0.988385744442547,0.988157083591736,0.989373371187735,0.988836473055792,0.9882997327226,0.987450625962034,0.991345229155605,0.980755543697402,0.977136516752314,0.975972049216536,0.980566432291026
"G3X8T9",-0.987326684559699,-0.987646088391031,0.951254832947716,0.989149385933712,0.98348985072161,0.98326867675716,0.938560646047179,0.937974288171259,0.908879354552398,0.970913376614438,0.97732148338203,0.955263598316612,0.981481901540417,0.974788304235583,0.987357451121499,0.994485189331156,0.996564831335664,0.998101343219004,1,0.990538659487852,0.995006869579353,0.992021401559815,0.973430677267185,0.97808003556715,0.982764859535586,0.98508662338691,0.983753940255454,0.98287830232247,0.982089582799731,0.982459112609397,0.985289075182706,0.982078862679072,0.980727833768766,0.985216320274824,0.990255726249058,0.966848060027567,0.980086115488708,0.991148788762268,0.985700012263587,0.988371464204576,0.988756864750989,0.990079508864167,0.990096175290473,0.989822186911036,0.987215054013328,0.992581635901901,0.980390517417397,0.978142255951144,0.979702511075217,0.982363975947673
"Q05144",-0.994871229290715,-0.994570399384353,0.954972091513563,0.979996204766592,0.97851997194555,0.982683194484399,0.968448113500255,0.965158041628976,0.951850613881195,0.987302923562885,0.986924239474642,0.964061589403004,0.983155681985994,0.990467378423682,0.973366307052824,0.981813228529699,0.994444021035387,0.995374800387399,0.990538659487852,1,0.997890419852507,0.995860143278238,0.99165738279668,0.991825483573917,0.99450775320613,0.993880590877836,0.992549073714529,0.992224512093127,0.991322734473485,0.990615186320188,0.995436022843082,0.992005777780358,0.992928996990592,0.993356627158111,0.99571628462296,0.974123374473131,0.987821466268388,0.992591416763639,0.990875391095695,0.992989546261024,0.992758967338468,0.99304343960955,0.993174911094702,0.992180932851274,0.993003990347689,0.992595928619906,0.989619962228825,0.986320741869412,0.979907185666923,0.987211732035553
"Q99L04",-0.997025700656622,-0.997312477269378,0.958773091780015,0.986293137232815,0.984980197288428,0.989598437500285,0.966060822109291,0.964831235193228,0.935821989800324,0.977966236796617,0.981754730025085,0.956619325027927,0.987320391364536,0.99102714843662,0.983498653210128,0.989768007774019,0.997045011552883,0.995894967470272,0.995006869579353,0.997890419852507,1,0.999153430262285,0.990652848388937,0.992490874779559,0.995127931090879,0.996158649429694,0.995198906548186,0.994899026090398,0.994085255044109,0.992764085389709,0.995097382398281,0.993472714296726,0.992947761751888,0.993007833205997,0.997191424392855,0.982167004270887,0.993051519067707,0.996343876405198,0.994542541039317,0.99638261459104,0.996782754968513,0.997191072552732,0.997847303150831,0.997247237108025,0.996540655490754,0.997450250710808,0.993055793666369,0.991264029715512,0.987264663923743,0.992119197704072
"P23953",-0.998811062789455,-0.998521862636342,0.961618149864498,0.986547320200384,0.985539988405335,0.992230255578775,0.969593137396831,0.970122131995788,0.936951225610119,0.97210416732819,0.978831828861788,0.946392450630476,0.98542949692544,0.991995233267499,0.986057194992919,0.990334405971761,0.996141471094875,0.991896414945722,0.992021401559815,0.995860143278238,0.999153430262285,1,0.993339350237622,0.995372251702981,0.997255815076347,0.998263164774842,0.997786995377663,0.997873262252335,0.997283977904773,0.99381573234011,0.995790595919686,0.995523455668542,0.994582811682383,0.992815872034769,0.997264280403804,0.986588095750511,0.995856611988027,0.997599192146163,0.996997493213637,0.998263514989432,0.998823468385501,0.998839880813259,0.999583672141411,0.99907189808685,0.997859989816135,0.997833226452135,0.99627804777509,0.995327662155627,0.991978899397951,0.996143585602015
"E9Q0H6",-0.9968075134841,-0.995923832648204,0.967078641893602,0.975275730365433,0.978228419020965,0.987535159399528,0.986980755763105,0.987879695098327,0.965335556007165,0.974792913754149,0.980243502124797,0.93016746112677,0.970078112848961,0.991585124689704,0.967417404502036,0.972321917807957,0.985725438460216,0.977954202274676,0.973430677267185,0.99165738279668,0.990652848388937,0.993339350237622,1,0.999306289118587,0.998617349031655,0.997615930104513,0.997582125472714,0.99750105223007,0.997427600877345,0.994177099220468,0.996622311518512,0.997300260771426,0.997869103345303,0.992989038102428,0.994013075328894,0.985482394709254,0.992792297530973,0.991963335959337,0.995038064977172,0.994952899057624,0.994616604783471,0.993770661583632,0.993284930904968,0.992962629665186,0.994780273239674,0.989880581194799,0.997227948156876,0.995685709688264,0.988140914443305,0.992459295744395
"P16045",-0.998642447172154,-0.997424277280436,0.972130028103972,0.982050243119499,0.98348008397985,0.99174925751832,0.982662137360389,0.985190604057403,0.960319683751384,0.973395470589258,0.982204532565345,0.926059907372,0.969705106265747,0.989338761583921,0.975018481904867,0.979233966841743,0.98976532052427,0.98090329128396,0.97808003556715,0.991825483573917,0.992490874779559,0.995372251702981,0.999306289118587,1,0.999579022754005,0.999116278392039,0.999256602073633,0.999025011741007,0.999192822381279,0.995704089938151,0.998041886790968,0.998944568388587,0.998933764387664,0.994934270613171,0.996170060602,0.986340579486732,0.993462969273894,0.995555019992306,0.997897832549731,0.997690886565377,0.997337295483766,0.996649387948637,0.995676043704796,0.995667738846266,0.996531707119556,0.992877383075586,0.998857716827445,0.997566627846958,0.992983538606275,0.995446194002902
"F6WR04",-0.999492400009954,-0.997954583866766,0.968747129670912,0.983625070199171,0.983384153560877,0.991256575237949,0.978480107140587,0.98033580427973,0.957921976403276,0.975383663908807,0.983476662104549,0.933869445624676,0.974004849428059,0.990328686502102,0.978820661864519,0.983122104011773,0.992793330967791,0.985396332183446,0.982764859535586,0.99450775320613,0.995127931090879,0.997255815076347,0.998617349031655,0.999579022754005,1,0.999442152603074,0.999375940071242,0.999407687711551,0.999370765467961,0.995120653186314,0.99854167317822,0.998576714242102,0.998561478964423,0.995273405489707,0.997146246175178,0.984651804606774,0.99358559758943,0.99675480419889,0.998072563852806,0.998391306200599,0.998163697963672,0.997602579366081,0.996978044543573,0.996665087582311,0.996850411954227,0.994137601490306,0.998284319494443,0.99676688695136,0.992785212126672,0.996444483942795
"F6TQW2",-0.999778002713469,-0.999385922419154,0.971811667688271,0.98652137738348,0.987637010058138,0.994651562879503,0.979037267027638,0.981102024961648,0.94994776706115,0.97366902437502,0.982197191721908,0.933059339296505,0.976396238296254,0.99078039193756,0.980699397696452,0.985172087921172,0.99352985359081,0.986290930220425,0.98508662338691,0.993880590877836,0.996158649429694,0.998263164774842,0.997615930104513,0.999116278392039,0.999442152603074,1,0.999922172571307,0.999497025035202,0.999449379641424,0.997084268833023,0.998335846986788,0.999110886724735,0.998550053548386,0.995786470703984,0.998181494945922,0.988840664388661,0.99587030755477,0.997977761465996,0.999164750031533,0.999390380353153,0.999372941162439,0.999085918471393,0.998575209519918,0.998626968503865,0.998842162344395,0.996855087192324,0.999372704613654,0.998327183986803,0.994501839092567,0.99650134883191
