G1,G2,G3
G3V8Q1,Q6P762,
Q5M878,D3ZS55,
Q5M876,Q6IUR5,
Q6VV72,D4A8M4,
P06302,D4A2H4,
Q5XFV4,F1LYX9,
E9PTG1,D3ZC54,
A0A0G2JVG4,Q66HT1,
Q5FVK6,D3ZVU4,
G3V9H0,P28037,
P56741,B2RYW3,
Q6PEC0,P19637,
Q3KR55,Q6GMM8,
A0A0G2JSM3,Q921A4,
D4AE06,Q9ES53,
O35293,Q80Z70,
B1WC16,A0A096MK59,
Q4FZU2,F1LXF5,
F1LYZ8,Q66HA5,
Q7TP91,B0BN30,
Q6MG49,D3ZMI6,
M0RAP5,F7EZ89,
P70500,Q6IN14,
P55159,G3V9E5,
F1LWG8,D3Z952,
Q6AXY8,D3ZWW5,
Q6DGG1,Q587K3,
Q5FVH2,D3ZD80,
A0A0G2K9G6,D3ZDU5,
A0A0G2K9L2,F1M065,
A0A0G2K3V4,D3ZIJ5,
P63074,A0A0G2K7X3,
Q6AYC2,D3Z9R8,
A0A0H2UHD9,P47864,
B2RYF7,P20037,
P02764,Q5XI22,
B5DFN4,B0K017,
D4A8T3,F1LQT4,
P04638,D3ZUV9,
F1LPS6,F1MA87,
B0BNI5,Q6EV70,
Q5BJQ6,Q9WU61,
Q5RK09,A0A096MJJ6,
Q4KM75,F6Q1N1,
Q6PDU7,D3ZJZ0,
M0R919,G3V7X5,
D4A944,D3ZZW2,
P02692,B1H264,
P84245,Q5EBA7,
P18445,Q9WTV1,
D3ZDZ1,A0A0G2KB26,
A0A0G2K9K2,B4F786,
P62856,D3ZMP6,
A0A0G2K676,D3ZUX7,
Q5XI97,M0R3Z8,
P17955,D3ZDF3,
G3V816,D3ZJ86,
A0A0G2JYE0,P14056,
A0A0G2K777,D3ZSZ6,
F1LR39,O35165,
Q9WTP0,D4AB50,
B3DMA2,O09178,
P28042,D4AED6,
P29288,Q4G064,
E9PTA4,P41740,
Q5FWS5,D3ZVH6,
Q8R4A1,F1M7Z1,
D4AA35,A0A0G2K6E5,
D4A9P7,D4A4Q4,
Q6AY80,B2RYS6,
Q3KRC5,Q9QWE9,
M0RAZ1,P97696,
D4A4U3,D3ZKQ4,
G3V8D4,F1LPM3,
A0A0G2JUK2,Q5FVM6,
M0RBD5,Q80VX4,
A0A0G2JWM2,F1LNW0,
A0A0G2K6I4,Q6MG48,
Q4FZZ3,D3ZSB7,
P50408,A0A0G2JT33,
D3ZXH7,Q642A4,
Q641Y5,G3V8C0,
A0A0G2K1U9,M0R8P6,
P53987,F1LNG8,
B5DFJ4,D3ZL50,
P52590,Q675A5,
Q6QBQ4,Q9EQV9,
P06765,Q6AYJ1,
D3ZWQ8,D4A6P3,
F1M471,Q01460,
Q63210,A0A0G2JT70,
R9PXX3,B0BNJ9,
Q4KM87,D3ZFK5,
A0A0G2JSK9,Q8VHV8,
P12928,F7FG68,
P62845,Q4AE70,
O54698,Q5M7T2,
A0A0G2K1G5,B0BMZ1,
O35796,G3V8M4,
F1M6V8,Q6P767,
D4A1K4,B5DEQ4,
B2RZC6,A0A0G2K735,
F1LQC5,D4ADJ8,
A0A0G2JVT8,M0R9U2,
Q4KLJ0,F7F163,
D3ZGF1,D4A021,
A0A0G2K648,D4A051,
A0A140TA89,Q75Q41,
D3ZQ02,P15399,
E9PTE1,D4A2H2,
F8WG67,Q63014,
A0A0G2K435,A0A0G2K0W4,
Q4QR81,Q03336,
F1M4Q9,G3V7T5,
Q9ET64,D3ZYT2,
G3V9T7,Q9JLT6,
B5DEH0,Q6AY84,
M0RDG7,F1LXY6,
D3ZF13,A0A0G2K5Z9,
D4AA63,D3ZWA1,
D3ZE49,E9PU29,
Q6IMX7,D3Z9U2,
D3ZAF6,Q9R0C9,
P06536,D3ZW38,
A0A0G2K1L4,P70581,
A1L1J9,Q9QYN5,
A0A140TAI1,M0R3V4,
G3V904,D3ZE02,
G3V6B0,Q63635,
Q4FZV0,P27435,
Q5XIJ6,D4A0Z1,
D3ZCI5,D3ZSL2,
Q62825,E9PTE5,
F1M0R1,F1M9C7,
Q6AYG5,Q5FVN2,
F1MAQ4,Q9JJM7,
Q5XIN4,A0A0G2JTX2,
A0A0G2K2R5,O35115,
Q7TMA5,B2GV97,
D3ZLS5,A0A0G2JXF0,
Q6JE36,Q5PQT7,
P38438,Q5RKJ2,
D4A9W3,Q498R3,
A0A1W2Q690,M0RDA4,
M0RB46,Q5U205,
G3V7E3,D4A465,
D4A4L6,D4ABX9,
A0A0G2K459,D3Z9B0,
D4A3X3,A0A0G2K9Q0,
E9PT90,Q6P9X4,
F1LPG2,B1WC84,
D3ZRP6,A0A1B0GWP9,
Q9ERR2,F7F0B1,
F1LZY6,Q6MG51,
Q920F5,A9UMW0,
Q4KLN7,Q63159,
Q5U1W8,D4A1Y0,
Q7TQ16,A0A0G2K2W0,
P83888,Q5M9G1,
D4A0H1,D4A531,
O55164,Q66HF2,
B0BNG0,A0A0G2K6A2,
Q6P762,D3ZSP1,
Q6IUR5,D4A994,
D4A8M4,Q5BK47,
D4A2H4,A0A0G2K964,
F1LYX9,Q80YV8,
P54001,Q6AYF4,
D4AE49,Q6QZQ4,
Q66HT1,B3DMA0,
D3ZHC4,A0A0G2K0J7,
F1LWD0,Q66H40,
P28037,D4A7L4,
B2RYW3,Q5GAM2,
P19637,Q9JI03,
D3ZXA6,Q00972,
F1LSP9,Q5XID6,
G3V728,D4AB55,
Q08602,A0A096MJ95,
A0A0G2K0B3,F1LU12,
Q5U2Y6,F1LR78,
B2GUV5,A0A0G2JW03,
Q6GMM8,A0A096MJR3,
A0A0G2JU12,D3ZG88,
Q921A4,D3ZBQ5,
Q9ES53,B0BN72,
Q63538,F6T1W7,
Q80Z70,F1M3X5,
D3ZA31,B2GUZ7,
M0R628,P35467,
Q499N6,D3ZFF4,
Q66HA5,P05508,
D4A3S8,Q6AYR8,
D4A9Y0,D3ZZH6,
B0BN30,A0A0G2K904,
D3ZWN1,O55166,
Q5U2R9,G3V6J2,
Q6IN14,M0RDW3,
